Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor-001,Reactor,150.5,25.3,180.0
Pump-001,Pump,200.0,45.0,25.0
HeatExchanger-001,Heat Exchanger,350.0,15.2,120.5
Compressor-001,Compressor,500.0,80.0,45.0
Reactor-002,Reactor,175.0,28.5,195.0
Pump-002,Pump,180.0,42.0,28.0
Distillation-001,Distillation Column,120.0,12.0,85.0
HeatExchanger-002,Heat Exchanger,320.0,14.8,115.0
Reactor-003,Reactor,160.0,26.0,185.0
Pump-003,Pump,220.0,48.0,30.0
Compressor-002,Compressor,480.0,75.0,42.0
Distillation-002,Distillation Column,135.0,13.5,90.0
Tank-001,Storage Tank,0.0,1.0,25.0
Tank-002,Storage Tank,0.0,1.2,28.0
HeatExchanger-003,Heat Exchanger,380.0,16.0,125.0
Reactor-004,Reactor,145.0,24.0,175.0
Pump-004,Pump,190.0,44.0,26.0
Separator-001,Separator,250.0,20.0,65.0
Separator-002,Separator,275.0,22.0,70.0
Compressor-003,Compressor,520.0,85.0,48.0
Mixer-001,Mixer,180.0,10.0,35.0
Mixer-002,Mixer,200.0,12.0,40.0
Reactor-005,Reactor,155.0,25.0,182.0
Valve-001,Control Valve,300.0,50.0,55.0
Valve-002,Control Valve,280.0,48.0,52.0
